CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_CODE,STPNM,REGIONAL_LOCAL_OFFICE_ONS_CODE,REGIONAL_LOCAL_OFFICE_NAME,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,8  to 14 Days,17
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,More than 28 Days,5
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Other Practice staff,Telephone,Same Day,177
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Unknown,Home Visit,2 to 7 Days,1
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Unknown,Home Visit,Same Day,3
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,DNA,Unknown,Telephone,Same Day,1
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Unknown,GP,Face-to-Face,1 Day,19
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Unknown,GP,Face-to-Face,15  to 21 Days,33
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Unknown,GP,Face-to-Face,2 to 7 Days,34
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Unknown,GP,Face-to-Face,22  to 28 Days,17
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Unknown,GP,Face-to-Face,8  to 14 Days,28
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Unknown,GP,Face-to-Face,More than 28 Days,7
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Unknown,GP,Face-to-Face,Same Day,95
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Unknown,GP,Home Visit,1 Day,60
01C,E38000056,NHS Eastern Cheshire CCG,E54000008,Cheshire And Merseyside  STP,E39000026,NHS England North West (Cheshire and Merseyside),E40000010,North West Commissioning Region,JAN2018,Unknown,GP,Home Visit,2 to 7 Days,21
